,Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Goals,Away_Goals,Outcome,Home_Win,Home_Attack,Away_Attack,Home_Team_Outcome_sum_10,Away_Team_Outcome_sum_10
0,Huesca,Eibar,2-0,https://www.besoccer.com/match/huesca/eibar/2022,2022,1,segunda_division,58,65,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,Real Zaragoza,UD Ibiza,0-0,https://www.besoccer.com/match/real-zaragoza/ibiza-eivissa/2022,2022,1,segunda_division,61,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,R. Sociedad B,LeganÃ©s,1-0,https://www.besoccer.com/match/real-sociedad-b/leganes/2022,2022,1,segunda_division,51,63,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,Girona,SD Amorebieta,2-0,https://www.besoccer.com/match/girona-fc/amorebieta/2022,2022,1,segunda_division,66,44,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,Ponferradina,AlcorcÃ³n,1-0,https://www.besoccer.com/match/ponferradina-sd/ad-alcorcon/2022,2022,1,segunda_division,52,57,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,Real Sporting,Burgos,1-0,https://www.besoccer.com/match/sporting-gijon/burgos-cf/2022,2022,1,segunda_division,62,50,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,Real Oviedo,Lugo,2-2,https://www.besoccer.com/match/real-oviedo/lugo/2022,2022,1,segunda_division,56,53,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Fuenlabrada,Tenerife,1-2,https://www.besoccer.com/match/fuenlabrada/tenerife/2022,2022,1,segunda_division,53,57,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
8,Las Palmas,Real Valladolid,1-1,https://www.besoccer.com/match/ud-palmas/valladolid/2022,2022,1,segunda_division,62,64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,MÃ¡laga,MirandÃ©s,0-0,https://www.besoccer.com/match/malaga/mirandes/2022,2022,1,segunda_division,62,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,FC Cartagena,AlmerÃ­a,1-3,https://www.besoccer.com/match/cartagena/almeria/2022,2022,1,segunda_division,51,59,1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0
11,Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/2022,2022,1,serie_a,70,77,2.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0
12,Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/2022,2022,1,serie_a,90,73,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13,Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/2022,2022,1,serie_a,75,85,1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0
14,Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/2022,2022,1,serie_a,75,87,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
15,Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/2022,2022,1,serie_a,72,60,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
16,Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/2022,2022,1,serie_a,72,94,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/2022,2022,1,serie_a,90,60,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18,Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/2022,2022,1,serie_a,87,79,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
19,Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/2022,2022,1,serie_a,74,64,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/2022,2022,1,serie_a,75,87,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
21,Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/2022,2022,1,primeira_liga,89,59,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22,Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/2022,2022,1,primeira_liga,62,70,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
23,Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/2022,2022,1,primeira_liga,71,90,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
24,MarÃ­timo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/2022,2022,1,primeira_liga,69,86,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
25,VitÃ³ria GuimarÃ£es,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/2022,2022,1,primeira_liga,80,65,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
26,Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/2022,2022,1,primeira_liga,66,67,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27,Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/2022,2022,1,primeira_liga,90,73,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
28,PaÃ§os de Ferreira,FamalicÃ£o,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/2022,2022,1,primeira_liga,71,67,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
29,Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/2022,2022,1,primeira_liga,60,67,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/2022,2022,1,segunda_liga,53,46,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
31,Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/2022,2022,1,segunda_liga,52,58,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/2022,2022,1,segunda_liga,51,43,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Feirense,SC Covilha,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/2022,2022,1,segunda_liga,59,52,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
34,CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/2022,2022,1,segunda_liga,53,48,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
35,Rio Ave,AcadÃ©mica,5-1,https://www.besoccer.com/match/rio-ave/academica/2022,2022,1,segunda_liga,62,57,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
36,Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/2022,2022,1,segunda_liga,52,49,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
37,Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/2022,2022,1,segunda_liga,43,55,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
38,LeixÃµes,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/2022,2022,1,segunda_liga,54,49,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
