,Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Goals,Away_Goals,Outcome,Home_Win,Home_Attack,Away_Attack,Home_Team_Outcome_sum_10,Away_Team_Outcome_sum_10
0,Arouca,CD Santa Clara,,https://www.besoccer.com/match/arouca/santa-clara/2022,2022,30,primeira_liga,68,52,,,,,0.6718487394957984,0.677115987460815,-3.0,4.0
1,FamalicÃ£o,Gil Vicente,,https://www.besoccer.com/match/famalicao/gil-vicente/2022,2022,30,primeira_liga,53,56,,,,,0.7251461988304093,1.0734956361966008,0.0,-5.0
2,VitÃ³ria GuimarÃ£es,PaÃ§os de Ferreira,,https://www.besoccer.com/match/vitoria-guimaraes/pacos-ferreira/2022,2022,30,primeira_liga,75,72,,,,,1.3436838390966832,0.5058217644424542,3.0,1.0
3,Moreirense,Tondela,,https://www.besoccer.com/match/moreirense-fc/tondela/2022,2022,30,primeira_liga,68,59,,,,,0.7809246147438567,0.894878706199461,-4.0,4.0
4,MarÃ­timo,Boavista,,https://www.besoccer.com/match/maritimo/boavista/2022,2022,30,primeira_liga,74,63,,,,,0.7778009162848812,0.8435374149659863,-1.0,2.0
5,Belenenses SAD,Vizela,,https://www.besoccer.com/match/cf-os-belenenses-ii/vizela/2022,2022,30,primeira_liga,38,51,,,,,0.621301775147929,1.0146052031036057,-1.0,1.0
6,Porto,Portimonense,,https://www.besoccer.com/match/fc-porto/portimonense/2022,2022,30,primeira_liga,89,58,,,,,1.913793103448276,0.846774193548387,8.0,3.0
7,Sporting CP,Benfica,,https://www.besoccer.com/match/sporting-lisbon/benfica/2022,2022,30,primeira_liga,87,91,,,,,1.3511387163561075,2.080184331797235,8.0,-4.0
8,Estoril,Sporting Braga,,https://www.besoccer.com/match/estoril/sporting-braga/2022,2022,30,primeira_liga,71,82,,,,,0.9312945119396732,1.273365071410674,-2.0,-2.0
9,Chaves,SC Covilha,,https://www.besoccer.com/match/chaves/sporting-covilha/2022,2022,30,segunda_liga,65,53,,,,,1.4000416493127863,0.6287726358148894,6.0,6.0
10,Varzim,Casa Pia,,https://www.besoccer.com/match/varzim/casa-pia/2022,2022,30,segunda_liga,54,41,,,,,0.5722543352601156,0.9979879275653922,-1.0,-3.0
11,AcadÃ©mica,Penafiel,,https://www.besoccer.com/match/academica/penafiel/2022,2022,30,segunda_liga,59,56,,,,,0.9350649350649352,0.746938775510204,-5.0,2.0
12,Farense,Mafra,,https://www.besoccer.com/match/farense/mafra/2022,2022,30,segunda_liga,42,44,,,,,1.0382059800664454,1.1321961620469083,3.0,1.0
13,LeixÃµes,Porto II,,https://www.besoccer.com/match/leixoes/porto-ii/2022,2022,30,segunda_liga,53,53,,,,,1.141156462585034,1.0069930069930069,1.0,6.0
