,Home_Team,Away_Team,Link,Season,Round,League,Elo_home,Elo_away
0,Eibar,Las Palmas,https://www.besoccer.com/match/eibar/ud-palmas/2022,2022,36,segunda_division,73,61
1,SD Amorebieta,MirandÃ©s,https://www.besoccer.com/match/amorebieta/mirandes/2022,2022,36,segunda_division,39,55
2,LeganÃ©s,MÃ¡laga,https://www.besoccer.com/match/leganes/malaga/2022,2022,36,segunda_division,62,60
3,Real Valladolid,AlmerÃ­a,https://www.besoccer.com/match/valladolid/almeria/2022,2022,36,segunda_division,71,60
4,Real Sporting,Real Oviedo,https://www.besoccer.com/match/sporting-gijon/real-oviedo/2022,2022,36,segunda_division,68,56
5,FC Cartagena,AlcorcÃ³n,https://www.besoccer.com/match/cartagena/ad-alcorcon/2022,2022,36,segunda_division,49,58
6,Ponferradina,Lugo,https://www.besoccer.com/match/ponferradina-sd/lugo/2022,2022,36,segunda_division,49,53
7,Burgos,UD Ibiza,https://www.besoccer.com/match/burgos-cf/ibiza-eivissa/2022,2022,36,segunda_division,47,46
8,Huesca,Real Zaragoza,https://www.besoccer.com/match/huesca/real-zaragoza/2022,2022,36,segunda_division,56,60
9,Tenerife,Fuenlabrada,https://www.besoccer.com/match/tenerife/fuenlabrada/2022,2022,36,segunda_division,55,39
10,Girona,R. Sociedad B,https://www.besoccer.com/match/girona-fc/real-sociedad-b/2022,2022,36,segunda_division,61,42
11,Spezia,Inter,https://www.besoccer.com/match/asd-spezia/internazionale/2022,2022,33,serie_a,60,84
12,Milan,Genoa,https://www.besoccer.com/match/milan/genoa/2022,2022,33,serie_a,85,74
13,Cagliari,Sassuolo,https://www.besoccer.com/match/cagliari/us-sassuolo-calcio/2022,2022,33,serie_a,73,74
14,Sampdoria,Salernitana,https://www.besoccer.com/match/sampdoria/salernitana-calcio-1919/2022,2022,33,serie_a,74,50
15,Udinese,Empoli,https://www.besoccer.com/match/udinese/empoli-fc/2022,2022,33,serie_a,76,71
16,Fiorentina,Venezia,https://www.besoccer.com/match/fiorentina/venezia/2022,2022,33,serie_a,86,38
17,Juventus,Bologna,https://www.besoccer.com/match/juventus-fc/bologna/2022,2022,33,serie_a,95,72
18,Lazio,Torino,https://www.besoccer.com/match/lazio/torino-fc/2022,2022,33,serie_a,85,77
19,Napoli,Roma,https://www.besoccer.com/match/napoli/roma/2022,2022,33,serie_a,90,89
20,Atalanta,Hellas Verona,https://www.besoccer.com/match/atalanta/hellas-verona-fc/2022,2022,33,serie_a,77,65
21,Arouca,CD Santa Clara,https://www.besoccer.com/match/arouca/santa-clara/2022,2022,30,primeira_liga,68,52
22,FamalicÃ£o,Gil Vicente,https://www.besoccer.com/match/famalicao/gil-vicente/2022,2022,30,primeira_liga,53,56
23,VitÃ³ria GuimarÃ£es,PaÃ§os de Ferreira,https://www.besoccer.com/match/vitoria-guimaraes/pacos-ferreira/2022,2022,30,primeira_liga,75,72
24,Moreirense,Tondela,https://www.besoccer.com/match/moreirense-fc/tondela/2022,2022,30,primeira_liga,68,59
25,MarÃ­timo,Boavista,https://www.besoccer.com/match/maritimo/boavista/2022,2022,30,primeira_liga,74,63
26,Belenenses SAD,Vizela,https://www.besoccer.com/match/cf-os-belenenses-ii/vizela/2022,2022,30,primeira_liga,38,51
27,Porto,Portimonense,https://www.besoccer.com/match/fc-porto/portimonense/2022,2022,30,primeira_liga,89,58
28,Sporting CP,Benfica,https://www.besoccer.com/match/sporting-lisbon/benfica/2022,2022,30,primeira_liga,87,91
29,Estoril,Sporting Braga,https://www.besoccer.com/match/estoril/sporting-braga/2022,2022,30,primeira_liga,71,82
30,Chaves,SC Covilha,https://www.besoccer.com/match/chaves/sporting-covilha/2022,2022,30,segunda_liga,65,53
31,Varzim,Casa Pia,https://www.besoccer.com/match/varzim/casa-pia/2022,2022,30,segunda_liga,54,41
32,AcadÃ©mica,Penafiel,https://www.besoccer.com/match/academica/penafiel/2022,2022,30,segunda_liga,59,56
33,Farense,Mafra,https://www.besoccer.com/match/farense/mafra/2022,2022,30,segunda_liga,42,44
34,LeixÃµes,Porto II,https://www.besoccer.com/match/leixoes/porto-ii/2022,2022,30,segunda_liga,53,53
35,Academico Viseu,Trofense,https://www.besoccer.com/match/academico-viseu/trofense/2022,2022,30,segunda_liga,45,45
36,CF Estrela,Nacional,https://www.besoccer.com/match/cf-estrela-de-amadora/nacional/2022,2022,30,segunda_liga,48,71
37,Feirense,Vilafranquense,https://www.besoccer.com/match/feirense/vilafranquense/2022,2022,30,segunda_liga,63,39
38,Rio Ave,Benfica II,https://www.besoccer.com/match/rio-ave/benfica-ii/2022,2022,30,segunda_liga,74,53
39,US Alessandria,Pordenone,https://www.besoccer.com/match/us-alessandria-1912/pordenone/2022,2022,34,serie_b,49,37
40,Como,Cittadella,https://www.besoccer.com/match/como/as-cittadella/2022,2022,34,serie_b,42,51
41,Lecce,SPAL,https://www.besoccer.com/match/lecce/spal-1907/2022,2022,34,serie_b,50,53
42,Frosinone,Cremonese,https://www.besoccer.com/match/frosinone-calcio/us-cremonese/2022,2022,34,serie_b,55,47
43,Benevento,Vicenza,https://www.besoccer.com/match/benevento-calcio/vicenza-calcio/2022,2022,34,serie_b,52,56
44,Ascoli,Reggina,https://www.besoccer.com/match/ascoli/reggina/2022,2022,34,serie_b,53,36
45,Crotone,Ternana Calcio,https://www.besoccer.com/match/fc-crotone/ternana-calcio/2022,2022,34,serie_b,65,53
46,Nuova Cosenza,AC Monza,https://www.besoccer.com/match/nuova-cosenza/ac-monza-brianza-1912/2022,2022,34,serie_b,44,32
47,Perugia,Pisa SC,https://www.besoccer.com/match/perugia/pisa-calcio/2022,2022,34,serie_b,55,50
48,Brescia,Parma,https://www.besoccer.com/match/brescia/parma-fc/2022,2022,34,serie_b,58,39
49,Liverpool,Watford,https://www.besoccer.com/match/liverpool/watford-fc/2022,2022,31,premier_league,90,70
50,Brighton & Hove Albion,Norwich City,https://www.besoccer.com/match/brighton-amp-hov/norwich-city-fc/2022,2022,31,premier_league,60,64
51,Burnley,Man. City,https://www.besoccer.com/match/burnley-fc/manchester-city-fc/2022,2022,31,premier_league,70,94
52,Chelsea,Brentford,https://www.besoccer.com/match/chelsea-fc/brentford/2022,2022,31,premier_league,94,53
53,Leeds United,Southampton,https://www.besoccer.com/match/leeds-united-afc/southampton-fc/2022,2022,31,premier_league,58,82
54,Wolves,Aston Villa,https://www.besoccer.com/match/wolverhampton/aston-villa-fc/2022,2022,31,premier_league,59,62
55,Man. Utd,Leicester,https://www.besoccer.com/match/manchester-united-fc/leicester-city-fc/2022,2022,31,premier_league,92,79
56,West Ham,Everton,https://www.besoccer.com/match/west-ham-united/everton-fc/2022,2022,31,premier_league,79,83
57,Tottenham Hotspur,Newcastle,https://www.besoccer.com/match/tottenham-hotspur-fc/newcastle-united-fc/2022,2022,31,premier_league,89,70
58,Crystal Palace,Arsenal,https://www.besoccer.com/match/crystal-palace-fc/arsenal/2022,2022,31,premier_league,73,92
